12:52:27:704 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
12:52:27:805 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
12:52:28:636 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:01:57:646 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
13:01:57:714 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:01:58:244 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:10:59:221 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
13:10:59:312 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:10:59:844 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:12:38:917 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
13:12:38:974 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:12:39:477 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:16:08:926 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
13:16:08:987 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:16:09:508 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:17:02:795 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
13:17:02:861 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:17:03:372 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:23:33:562 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: zajavkaPersistenceUnitExample]
13:23:33:648 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:23:34:297 [main] WARN  o.hibernate.orm.connections.pooling - HHH10001002: Using built-in connection pool (not intended for production use)
13:23:48:759 [restartedMain] INFO  w.warehouse.WarehouseCncApplication - Starting WarehouseCncApplication using Java 17.0.1 with PID 11416 (C:\Users\corem\OneDrive\Pulpit\magazyn UNI_KAT\new project\warehouse\server\target\classes started by corem in C:\Users\corem\OneDrive\Pulpit\magazyn UNI_KAT\new project\warehouse\server)
13:23:48:764 [restartedMain] INFO  w.warehouse.WarehouseCncApplication - The following 1 profile is active: "local"
13:23:48:932 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
13:23:48:933 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
13:23:50:214 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13:23:50:381 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 150 ms. Found 8 JPA repository interfaces.
13:23:51:768 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8000 (http)
13:23:51:797 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8000"]
13:23:51:798 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:23:51:799 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
13:23:51:918 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:23:51:920 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2984 ms
13:23:51:975 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:23:52:702 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@49dac6fd
13:23:52:706 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:23:52:716 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/warehouse?serverTimezone=UTC'
13:23:53:038 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13:23:53:135 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
13:23:53:976 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
13:23:55:356 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
13:23:55:370 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
13:23:57:956 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
13:23:57:987 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8000"]
13:23:58:021 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8000 (http) with context path ''
13:23:58:049 [restartedMain] INFO  w.warehouse.WarehouseCncApplication - Started WarehouseCncApplication in 10.006 seconds (process running for 12.282)
13:24:07:542 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
13:24:07:546 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13:24:07:588 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
